Gene_ID,Tumor_Mean,Normal_Mean,Log2FC,P_value,T_stat,-log10(P),Significant
29131,7.91154054054054,7.1453716216216225,0.12969433113478734,6.561277726596063e-11,6.780600797402946,10.183011578981702,Not Significant
18603,7.734195945945946,8.225195945945947,-0.0789046573801988,6.669088290063118e-11,-6.777877487058073,10.175933533048672,Not Significant
52191,7.3192499999999985,8.027804054054053,-0.11792163371011632,6.710350227052802e-11,-6.776846640069801,10.173254812512509,Not Significant
51745,13.734885135135135,13.258567567567567,0.04740675984338383,6.777134978487332e-11,6.775191287797184,10.168953864540223,Not Significant
21303,10.265135135135134,10.01704054054054,0.03212788897696317,6.901258345655894e-11,6.772156874372331,10.161071714661425,Not Significant
33557,6.854114864864866,7.249499999999999,-0.07085798335959037,7.070350269130158e-11,-6.768108329689806,10.150559070477176,Not Significant
29146,4.8099729729729725,4.335486486486487,0.12291163134483574,7.26658996719041e-11,6.76352743680664,10.138669345106127,Not Significant
40376,7.527891891891891,7.985912162162162,-0.07547581033436179,7.322429159059161e-11,-6.762246175066002,10.135344821213932,Not Significant
7989,6.752371621621621,6.068128378378378,0.13330948638261253,7.708788163541076e-11,6.753635543673924,10.113013888518708,Not Significant
15325,5.1749527027027025,4.743966216216216,0.10438082254658498,7.765010360804421e-11,6.752418030229879,10.109857960458644,Not Significant
29796,10.704054054054053,11.040567567567567,-0.040895061821218714,7.818219119448964e-11,-6.751273727631629,10.106892161860538,Not Significant
18442,7.070831081081081,7.516020270270271,-0.07746214337615376,7.983164199884577e-11,-6.747774461706377,10.097824937950492,Not Significant
54822,7.945763513513513,8.438858108108109,-0.0774077157720483,8.04696887242009e-11,-6.746439889018225,10.094367678623628,Not Significant
11640,4.592283783783784,3.952837837837838,0.175182186904272,8.074941956704925e-11,6.745858065113056,10.092860590727307,Not Significant
55642,7.6814797297297295,6.680378378378378,0.17676357834317624,8.134153185632805e-11,6.744633012352682,10.089687653046678,Not Significant
26894,6.589641891891891,6.947871621621621,-0.06653675415539784,8.396254806139214e-11,-6.739313448410868,10.075914390096658,Not Significant
55845,7.786331081081081,7.377054054054053,0.06881788046772463,8.432871048730633e-11,6.738583316384673,10.07402454063731,Not Significant
21861,7.529121621621622,6.707310810810811,0.1461696007587303,8.517946827586457e-11,6.736898853964444,10.069665075292779,Not Significant
18516,8.451824324324324,7.487466216216216,0.1552588881908652,8.636575131899585e-11,6.734577461885101,10.063658444580797,Not Significant
39777,10.428864864864867,10.77737162162162,-0.04333548646288632,8.640918157484731e-11,-6.734493070660793,10.063440108268402,Not Significant
31588,9.995918918918917,9.563162162162161,0.05792639295951485,8.757495264566885e-11,6.732243249906663,10.0576200888459,Not Significant
18626,4.74841891891892,5.237925675675675,-0.11790116047973509,8.84121946174848e-11,-6.730645542947528,10.053487828993424,Not Significant
36387,5.722722972972974,5.230560810810811,0.1096836752294772,8.912914283623274e-11,6.729289165551218,10.049980270109504,Not Significant
58542,7.928817567567567,8.420972972972974,-0.07740693158101752,8.926255570290764e-11,-6.729037948565272,10.049330682902383,Not Significant
23730,6.718162162162162,7.085641891891892,-0.06710495305949005,8.973739834420761e-11,-6.728146801838058,10.04702652563349,Not Significant
38460,4.972033783783784,5.441581081081082,-0.1091925133651861,9.001203623238987e-11,-6.727633496133691,10.045699413673962,Not Significant
10617,9.198270270270267,8.26793918918919,0.13800399405993824,9.001856284838863e-11,6.727621316441012,10.045667924878952,Not Significant
43048,4.780121621621621,5.433722972972973,-0.15455396760510887,9.033800833919572e-11,-6.727026239072806,10.044129488457289,Not Significant
37606,5.902256756756757,5.4536013513513515,0.09696367838572195,9.342244757284288e-11,6.721384502598992,10.029548758826706,Not Significant
48863,8.883128378378379,8.441418918918918,0.06596408719694358,9.349884642774229e-11,6.721247096684498,10.02919374734306,Not Significant
22398,7.161358108108107,6.615628378378378,0.0998461660707668,9.371057273508188e-11,6.720866875555027,10.028211407815842,Not Significant
22462,9.012945945945948,9.514675675675676,-0.07053785366018683,9.38349062513392e-11,-6.720643988864872,10.027635575561941,Not Significant
22072,7.1404324324324335,5.698466216216216,0.28127464297855376,9.503990972237527e-11,6.718498749849531,10.022093984895424,Not Significant
2703,5.865236486486486,5.3671283783783785,0.10866656456337376,9.566385000335346e-11,6.717398443398613,10.019252144877752,Not Significant
31235,8.94177027027027,9.51466891891892,-0.08082875220089925,9.582733457713867e-11,-6.717111307452013,10.018510591519282,Not Significant
